Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,300.14,471.14,176.05,134.19,178.36,NA,NA,3.62,17.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-02 00:00:00,246.16,361.62,42.94,76.65,119.59,NA,NA,2.41,13.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-03 00:00:00,117.84,162.72,36.13,48.56,84.68,NA,NA,1.73,10.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-04 00:00:00,63.87,98.96,38.36,51.54,89.90,NA,NA,1.66,11.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-05 00:00:00,56.08,89.00,52.53,53.44,105.98,NA,NA,1.64,10.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-06 00:00:00,115.18,164.91,66.45,51.59,118.04,NA,NA,1.83,10.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-07 00:00:00,94.90,155.92,29.54,35.51,65.06,NA,NA,1.50,11.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-08 00:00:00,99.96,189.28,37.41,42.51,79.91,NA,NA,1.60,10.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-09 00:00:00,111.93,196.26,28.49,42.85,71.35,NA,NA,1.57,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-10 00:00:00,96.38,155.49,17.15,34.69,51.84,NA,NA,1.37,14.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-11 00:00:00,94.07,157.53,17.81,37.66,55.48,NA,NA,1.51,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-12 00:00:00,168.94,268.04,82.54,69.40,136.04,NA,NA,2.38,19.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-13 00:00:00,213.91,366.99,168.80,103.56,197.05,NA,NA,3.30,21.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-14 00:00:00,372.74,597.29,156.32,159.89,220.48,NA,NA,4.50,29.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-15 00:00:00,365.08,568.09,235.08,155.99,209.33,NA,NA,4.09,28.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-16 00:00:00,218.98,299.55,93.30,78.25,143.97,NA,NA,2.45,18.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-17 00:00:00,185.55,285.98,37.97,52.03,82.74,NA,NA,0.79,17.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-18 00:00:00,171.61,301.01,71.97,83.57,85.82,NA,NA,1.09,17.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-19 00:00:00,129.94,350.16,88.86,86.61,135.17,NA,NA,1.67,19.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-20 00:00:00,86.28,151.41,12.97,25.67,38.63,NA,NA,0.29,14.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-21 00:00:00,99.16,207.58,52.90,55.98,79.71,NA,NA,0.44,20.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-22 00:00:00,167.58,345.95,118.24,86.65,140.15,NA,NA,0.99,20.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-23 00:00:00,122.66,231.52,15.24,29.91,45.16,NA,NA,0.38,19.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-24 00:00:00,142.82,279.31,34.79,39.90,74.68,NA,NA,0.46,15.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-25 00:00:00,118.50,252.70,37.58,41.55,79.12,NA,NA,0.34,17.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-26 00:00:00,112.52,273.49,54.97,55.31,110.00,NA,NA,0.46,19.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-27 00:00:00,135.31,330.01,67.93,74.23,112.45,NA,NA,0.56,17.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-28 00:00:00,160.95,385.10,130.51,99.80,173.49,NA,NA,0.90,18.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-29 00:00:00,147.83,308.54,43.25,57.62,100.88,NA,NA,0.54,17.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-30 00:00:00,109.78,252.17,55.06,68.40,110.29,NA,NA,0.50,16.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-31 00:00:00,136.22,346.38,165.82,118.64,202.76,NA,NA,0.98,14.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-02-01 00:00:00,152.62,358.34,135.63,108.63,207.40,NA,NA,1.25,13.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-02-02 00:00:00,180.65,448.00,147.16,126.91,159.17,NA,NA,1.28,14.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-02-03 00:00:00,112.84,266.09,14.33,37.07,51.40,NA,NA,0.65,18.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-02-04 00:00:00,103.27,177.17,25.70,41.80,67.51,NA,NA,0.87,16.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-02-05 00:00:00,72.19,89.68,55.43,52.93,108.36,NA,NA,0.91,15.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-02-06 00:00:00,64.00,62.69,31.11,42.73,73.84,NA,NA,0.71,16.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-02-07 00:00:00,NA,75.40,65.86,60.22,95.44,NA,NA,1.08,19.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
