Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,89.53,136.67,5.79,29.88,19.04,28.49,13.85,1.24,12.7,3.98,15.62,2.18,,3.24,2.39,9.62,94.43,0.5,275.6,0.0,0.0,17.56,,
2024-01-02,95.77,142.61,3.25,41.37,23.67,22.18,8.27,1.18,22.59,3.57,12.35,2.34,,3.09,2.55,9.95,87.25,0.51,226.29,0.0,0.0,29.25,,
2024-01-03,123.76,189.76,20.28,34.17,31.85,22.9,2.84,1.44,32.64,5.26,20.69,5.2,,5.88,5.43,10.01,86.27,0.37,205.25,0.0,0.0,30.46,,
2024-01-04,77.04,115.82,13.17,28.34,25.14,26.32,0.92,1.2,17.19,4.42,16.58,3.64,,5.28,4.37,8.34,78.58,0.48,288.74,0.0,0.0,33.41,,
2024-01-05,115.04,167.34,10.34,31.36,24.8,34.99,3.16,1.36,15.98,4.85,13.41,3.32,,4.32,3.78,8.36,70.66,0.4,256.57,0.0,0.0,29.77,,
2024-01-06,133.54,183.38,13.61,31.42,27.28,35.38,1.16,1.42,18.34,5.23,16.28,4.15,,5.84,4.67,8.87,74.05,0.44,257.42,0.0,0.0,31.73,,
2024-01-07,120.88,168.43,,,,36.53,0.71,1.41,9.56,5.01,13.82,3.64,,4.97,3.93,8.28,80.32,0.4,224.18,0.0,0.0,18.25,,
2024-01-08,158.84,231.02,12.08,48.2,35.47,32.13,6.16,1.41,15.25,6.25,19.62,4.53,,6.39,4.88,8.95,76.74,0.44,249.26,0.0,0.0,25.32,,
2024-01-09,128.34,197.41,5.24,19.51,14.07,29.55,11.29,1.16,17.82,3.61,10.53,1.85,,3.05,2.27,8.39,76.76,0.62,272.96,0.0,0.0,16.97,,
2024-01-10,123.92,203.06,3.78,21.28,13.96,21.31,10.22,1.17,18.08,3.15,5.78,0.96,,1.36,1.25,7.76,74.71,0.68,321.65,0.0,0.0,24.91,,
2024-01-11,149.29,238.34,3.87,21.55,14.19,29.25,7.01,1.29,21.18,3.98,8.64,1.71,,2.16,2.18,7.1,73.69,0.69,309.03,0.0,0.0,29.68,,
2024-01-12,186.24,274.17,7.6,40.05,27.45,29.82,9.73,1.48,13.43,5.76,14.11,3.82,,4.61,4.05,7.14,71.83,0.52,231.62,0.0,0.0,26.31,,
2024-01-13,334.41,470.64,19.75,47.64,41.39,37.56,8.46,2.45,24.19,8.41,23.7,6.96,,8.13,6.74,8.68,68.55,0.38,229.99,0.0,0.0,32.09,,
2024-01-14,172.53,264.36,7.66,17.37,15.46,30.14,5.43,1.59,13.32,5.13,16.86,4.01,,5.37,4.32,6.48,71.82,0.41,289.1,0.0,0.0,36.97,,
2024-01-15,148.79,225.26,38.41,21.72,42.78,33.96,5.16,2.0,16.63,5.31,16.88,5.56,,5.76,5.7,6.61,72.65,0.48,262.29,0.0,0.0,32.98,,
2024-01-16,228.65,353.73,51.17,28.04,56.52,44.91,7.83,1.51,20.11,,,,,,,7.77,69.2,0.33,201.84,0.0,0.0,31.82,,
2024-01-17,201.85,335.49,31.58,26.6,39.83,39.36,12.39,1.42,23.49,,,,,,,9.98,64.18,0.33,172.73,0.0,0.0,32.92,,
2024-01-18,178.67,305.58,20.22,22.95,28.64,38.09,7.07,1.68,31.75,,,,,,,10.36,64.36,0.33,203.51,0.0,0.0,33.99,,
